study_hours,attendance,assignment_score,midterm_score,practice_score,result
3.7,53.7,9.6,3.8,5.8,1
0.5,56.3,8.0,9.9,4.3,0
1.1,98.7,9.0,7.6,5.5,1
6.8,57.0,3.1,6.9,7.5,1
7.1,73.4,4.6,2.0,2.3,0
7.7,96.5,4.9,3.5,8.4,0
8.7,98.7,6.3,7.1,4.3,1
7.4,58.0,4.4,5.0,7.5,1
8.0,47.7,2.5,9.4,7.1,1
0.5,53.4,5.0,8.1,7.2,1
2.3,48.5,4.0,5.6,6.9,0
6.2,55.7,5.1,8.0,9.7,1
8.6,76.3,3.6,9.8,6.1,1
0.0,95.2,4.1,5.7,7.9,1
5.1,74.5,7.0,7.1,7.6,1
6.8,79.4,5.1,9.3,3.9,1
0.3,56.1,4.8,4.0,4.3,0
4.0,89.0,6.3,9.1,5.4,1
9.0,79.0,8.2,2.8,4.2,0
6.7,92.5,5.0,7.2,4.9,1
2.4,97.2,6.7,8.3,5.1,1
8.5,64.1,9.7,6.9,6.8,1
3.5,50.0,6.2,6.0,3.8,0
8.5,57.4,9.3,6.9,8.4,1
3.0,69.1,8.3,3.2,5.5,1
5.9,97.0,2.5,3.7,7.6,0
4.0,65.8,5.4,4.2,2.7,0
2.7,87.4,7.6,6.8,5.8,1
8.9,74.7,9.9,5.5,2.2,1
1.9,55.1,5.7,4.0,7.4,0
0.8,62.6,2.7,9.1,4.7,1
3.4,80.9,6.5,5.0,9.6,1
7.2,82.0,3.0,5.6,4.6,1
8.1,68.9,8.0,5.3,6.5,1
10.0,57.6,6.1,3.5,4.1,1
3.0,84.7,7.8,7.9,7.0,1
4.1,54.3,9.0,5.6,5.7,0
1.4,96.5,7.0,2.1,5.0,0
5.7,55.3,6.9,9.7,3.6,1
10.0,50.9,8.0,8.5,2.9,1
7.0,72.4,8.7,7.8,3.0,1
6.0,73.6,9.0,9.0,10.0,1
3.9,73.0,2.3,9.3,5.3,1
9.2,69.0,6.4,4.7,2.0,0
5.0,99.7,3.7,6.9,9.6,1
1.3,71.7,8.9,6.9,2.2,1
3.7,71.3,7.2,4.1,5.3,1
0.7,68.2,5.4,3.8,7.7,0
2.0,48.7,3.5,2.9,9.3,0
0.2,77.6,4.7,7.3,7.7,1
4.5,57.5,7.6,8.2,5.7,1
6.3,80.1,3.6,8.1,9.8,1
3.4,47.8,2.7,4.5,2.3,0
4.2,99.0,9.1,3.6,9.9,1
9.6,70.8,8.1,5.6,8.8,1
7.5,94.3,3.6,6.4,9.4,1
5.4,71.2,4.3,9.4,4.0,1
2.8,48.3,9.8,9.0,3.1,1
9.0,90.2,7.7,9.3,7.3,1
2.4,80.7,6.9,8.8,6.1,1
3.3,88.0,4.5,9.7,6.2,1
9.1,68.5,4.4,5.7,9.4,1
5.3,80.1,2.3,2.4,7.0,0
7.4,92.1,7.8,2.7,4.5,1
5.9,79.7,2.3,5.1,5.2,0
6.5,64.1,2.0,4.1,3.1,0
3.0,81.4,7.8,3.4,3.5,1
2.4,82.0,9.6,9.6,3.1,1
3.2,97.8,8.1,3.6,8.5,1
1.6,65.4,5.8,9.7,7.6,1
8.7,68.4,5.9,8.1,6.2,1
2.8,89.7,5.5,7.1,5.0,1
5.6,72.8,4.6,7.4,7.3,1
7.9,85.5,6.2,4.7,8.5,1
7.8,70.3,5.4,7.2,9.0,1
4.4,56.9,6.8,3.5,6.4,0
4.8,86.0,9.2,9.5,8.6,1
9.9,52.2,10.0,4.4,6.1,1
6.7,55.9,2.6,4.0,5.8,0
8.1,79.5,5.1,7.7,8.9,1
9.0,86.1,3.4,7.3,5.1,1
7.9,94.2,4.8,5.6,5.2,1
1.9,60.0,4.3,7.1,4.4,1
5.6,51.1,3.4,3.3,6.1,1
1.0,97.6,8.1,7.4,6.4,1
6.5,53.5,6.0,4.2,7.3,1
9.6,55.9,9.4,4.2,5.4,1
5.1,61.0,2.3,3.3,3.7,0
4.3,74.1,2.5,4.7,8.9,0
0.4,93.6,5.2,4.7,4.8,0
9.6,86.8,2.6,5.6,9.4,1
1.0,83.9,4.1,3.5,3.7,0
0.4,54.6,9.9,3.5,6.5,0
2.5,64.7,3.7,6.3,6.3,1
0.7,71.3,3.6,3.0,8.6,0
4.6,53.1,6.6,7.5,3.1,0
5.2,60.0,6.0,9.6,9.3,1
3.1,62.0,6.6,5.4,6.3,0
0.5,52.0,5.0,9.2,6.7,1
1.1,75.3,8.6,2.8,6.1,1
3.8,83.8,3.1,2.3,2.3,0
0.6,48.8,5.4,7.8,6.0,1
7.0,71.5,7.5,8.1,4.1,1
2.1,88.0,8.9,8.7,4.7,1
3.0,86.1,5.0,2.5,7.2,0
3.9,89.8,6.5,8.2,6.0,1
4.2,69.7,2.6,5.0,2.7,0
0.0,90.1,3.4,4.4,2.6,0
1.1,58.2,2.6,3.4,3.5,0
8.6,64.8,7.8,10.0,3.5,1
0.0,54.7,4.3,2.5,6.9,0
5.1,70.7,7.8,8.6,3.4,1
4.9,66.6,2.5,7.1,9.1,1
3.3,58.3,8.9,7.9,3.7,1
4.3,86.3,8.7,7.7,2.7,1
7.8,62.3,2.7,8.9,9.0,1
8.4,60.0,2.2,3.5,4.4,0
2.6,52.2,2.5,2.0,5.4,0
3.2,69.1,8.8,6.8,9.7,1
2.4,61.7,3.9,4.8,9.6,0
4.8,65.3,6.4,3.0,7.7,0
6.8,58.0,5.4,3.5,2.6,0
2.3,87.0,8.4,4.7,6.7,1
3.3,96.2,5.9,2.6,9.9,1
9.3,72.4,6.0,2.5,9.6,1
0.5,80.4,9.9,9.3,2.8,1
4.6,92.7,3.2,4.5,5.2,1
7.1,99.9,8.6,9.9,4.5,1
1.5,78.7,2.4,9.7,3.0,0
0.5,93.9,5.8,3.1,7.6,0
1.4,95.0,9.1,7.7,4.2,1
9.2,88.5,7.3,6.8,4.8,1
0.1,70.4,7.5,7.5,2.7,1
1.9,49.5,4.1,2.8,6.0,0
0.3,45.9,5.3,3.5,3.3,0
1.1,71.2,4.9,2.6,5.5,0
6.2,72.2,6.2,6.8,3.1,1
2.4,67.4,5.7,9.9,9.6,1
5.7,76.2,4.6,7.4,3.2,0
5.9,75.4,4.4,7.7,6.2,1
8.5,91.0,4.0,9.9,3.6,1
0.0,51.0,4.9,7.4,2.6,0
8.5,57.4,3.2,2.3,3.6,0
6.2,88.6,9.0,8.9,2.4,1
1.6,91.6,6.8,4.9,3.1,0
7.7,99.7,3.1,2.0,5.9,0
8.6,93.0,7.6,6.1,7.2,1
2.5,93.9,8.8,9.5,2.7,1
9.2,62.3,3.9,4.1,5.5,0
4.5,67.1,3.2,5.9,6.6,1
6.0,59.7,2.1,3.4,3.9,0
9.8,78.3,2.4,2.5,5.0,0
3.6,96.6,8.1,2.6,2.6,0
8.1,64.0,9.9,7.8,3.8,1
3.2,75.6,2.4,8.9,5.7,1
8.0,61.3,8.0,3.1,9.9,1
6.0,54.3,2.6,4.3,10.0,1
2.2,55.7,6.7,3.6,9.8,1
4.1,48.2,8.0,2.2,5.4,0
3.2,97.2,4.9,6.4,2.6,1
0.8,67.2,2.1,7.6,4.6,0
0.3,90.9,6.8,7.2,3.9,0
3.5,82.5,9.9,5.1,2.1,1
0.2,55.6,4.1,6.4,2.8,0
1.7,54.7,3.5,2.8,5.6,0
7.3,89.7,3.0,3.2,4.7,1
7.1,59.6,6.4,9.5,3.4,1
